Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,wholeAddressShotgun
1518138,"September 14, 2019",New York,Gouverneur,337 CR-11,0,0,"337 CR-11, Gouverneur, New York"
1506323,"September 14, 2019",Oregon,Pendleton,N/A,1,0,"N/A, Pendleton, Oregon"
1506428,"September 14, 2019",Maryland,Park Hall,20075 Manor Dr,0,0,"20075 Manor Dr, Park Hall, Maryland"
1503429,"September 13, 2019",New York,Niagara Falls,400 block of 19th St,0,0,"400 block of 19th St, Niagara Falls, New York"
1503313,"September 13, 2019",Rhode Island,Providence,124 Regent Ave,1,0,"124 Regent Ave, Providence, Rhode Island"
1504984,"September 13, 2019",Alaska,Akiachak,N/A,0,1,"N/A, Akiachak, Alaska"
1506434,"September 13, 2019",Maryland,Lexington Park,Ronald Dr,0,0,"Ronald Dr, Lexington Park, Maryland"
1514067,"September 12, 2019",New Jersey,Toms River (Berkeley),Redhook Bay Dr,0,0,"Redhook Bay Dr, Toms River (Berkeley), New Jersey"
1512378,"September 12, 2019",Illinois,Alton,5100 block of Candy Ln,0,0,"5100 block of Candy Ln, Alton, Illinois"
1503108,"September 12, 2019",Michigan,Rochester (Rochester Hills),Toucan St,0,0,"Toucan St, Rochester (Rochester Hills), Michigan"
1508159,"September 12, 2019",Florida,Clermont,N/A,0,0,"N/A, Clermont, Florida"
1502886,"September 12, 2019",Hawaii,Kahului,100 block of Hoohana St,1,0,"100 block of Hoohana St, Kahului, Hawaii"
1502536,"September 11, 2019",Florida,Tallahassee,1800 block of Robinson Rd,0,0,"1800 block of Robinson Rd, Tallahassee, Florida"
1502463,"September 11, 2019",Texas,Dallas,1600 block of John West Rd,0,0,"1600 block of John West Rd, Dallas, Texas"
1506415,"September 11, 2019",Florida,Palm Coast,Ponderosa Ln,0,0,"Ponderosa Ln, Palm Coast, Florida"
1513940,"September 10, 2019",Connecticut,Norwalk,50 Creeping Hemlock Drive,0,0,"50 Creeping Hemlock Drive, Norwalk, Connecticut"
1501154,"September 9, 2019",California,Oxnard,1000 block of Quail Run Way,0,0,"1000 block of Quail Run Way, Oxnard, California"
1500964,"September 9, 2019",Texas,Bacliff,675 Miles Rd,0,0,"675 Miles Rd, Bacliff, Texas"
1500553,"September 9, 2019",Ohio,Cincinnati,Ridgeway Ave and Cleveland Ave,1,0,"Ridgeway Ave and Cleveland Ave, Cincinnati, Ohio"
1500260,"September 9, 2019",Massachusetts,Auburn,15 St Mark St,0,1,"15 St Mark St, Auburn, Massachusetts"
1501947,"September 8, 2019",Oklahoma,Tahlequah,N 569 Rd,0,1,"N 569 Rd, Tahlequah, Oklahoma"
1500064,"September 8, 2019",Texas,San Antonio,5500 block of Little Creek Dr,1,0,"5500 block of Little Creek Dr, San Antonio, Texas"
1499482,"September 8, 2019",Wisconsin,Menomonie,3900 block of 640th Street,1,0,"3900 block of 640th Street, Menomonie, Wisconsin"
