Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,wholeAddressRifle
1486888,23-Aug-19,Florida,Tampa,16th Ave and S 58th St,0,0,"16th Ave and S 58th St, Tampa, Florida"
1488933,23-Aug-19,South Dakota,Rapid City,2100 block of Maywood Dr,0,0,"2100 block of Maywood Dr, Rapid City, South Dakota"
1485896,22-Aug-19,Michigan,Taylor,N/A,0,0,"N/A, Taylor, Michigan"
1485874,22-Aug-19,Florida,Jacksonville,3500 block of Oleander St,0,1,"3500 block of Oleander St, Jacksonville, Florida"
1498542,22-Aug-19,Florida,Oldsmar,3740 Shore Blvd,1,0,"3740 Shore Blvd, Oldsmar, Florida"
1489440,22-Aug-19,Michigan,Port Huron,900 block of Howard St,0,0,"900 block of Howard St, Port Huron, Michigan"
1489226,22-Aug-19,Maine,Rockport,Mount Pleasant Street,0,0,"Mount Pleasant Street, Rockport, Maine"
1488291,22-Aug-19,California,Merced,2070 E Childs Ave,0,0,"2070 E Childs Ave, Merced, California"
1486780,22-Aug-19,Utah,Salt Lake City (South Salt Lake),3250 S West Temple,0,0,"3250 S West Temple, Salt Lake City (South Salt Lake), Utah"
1485008,21-Aug-19,Georgia,Augusta,3606 Milledgeville Rd,0,0,"3606 Milledgeville Rd, Augusta, Georgia"
1485615,21-Aug-19,Louisiana,West Monroe,3000 block of North 7th St,0,0,"3000 block of North 7th St, West Monroe, Louisiana"
1736927,21-Aug-19,Nevada,Carson City,Alouette Way,0,0,"Alouette Way, Carson City, Nevada"
1865613,21-Aug-19,New Mexico,Laguna (Tohajiilee),N/A,1,0,"N/A, Laguna (Tohajiilee), New Mexico"
1483744,20-Aug-19,Georgia,Thomasville,1600 block of Orange St,0,0,"1600 block of Orange St, Thomasville, Georgia"
1483522,20-Aug-19,Ohio,Columbus,3820 Cleveland Ave,0,0,"3820 Cleveland Ave, Columbus, Ohio"
1484134,19-Aug-19,North Carolina,High Point,1305 E Green Dr,0,1,"1305 E Green Dr, High Point, North Carolina"
1483550,19-Aug-19,Ohio,Youngstown,Old Furnace Rd and Robinson Hill Dr,0,0,"Old Furnace Rd and Robinson Hill Dr, Youngstown, Ohio"
1484432,19-Aug-19,Kentucky,Cumberland,US 119,0,0,"US 119, Cumberland, Kentucky"
1484365,19-Aug-19,Nebraska,Loup City,NE-92 and 472B Ave,1,0,"NE-92 and 472B Ave, Loup City, Nebraska"
1637716,18-Aug-19,Wisconsin,Janesville,500 block of Frederick St,0,0,"500 block of Frederick St, Janesville, Wisconsin"
1482702,18-Aug-19,Delaware,Wilmington (Newport),3000 block of Valley Brook Dr,0,0,"3000 block of Valley Brook Dr, Wilmington (Newport), Delaware"
1483502,18-Aug-19,Ohio,Canton,7900 block of Lincoln St SE,0,0,"7900 block of Lincoln St SE, Canton, Ohio"
1499742,17-Aug-19,Texas,Houston,N/A,0,0,"N/A, Houston, Texas"
1483951,17-Aug-19,New Jersey,Hightstown (East Windsor),NJ Tpke,0,0,"NJ Tpke, Hightstown (East Windsor), New Jersey"
1482909,17-Aug-19,California,La Puente,Pleasanthome Dr and Banbridge Ave,0,2,"Pleasanthome Dr and Banbridge Ave, La Puente, California"
1483808,17-Aug-19,Georgia,Vidalia,300 block of Washington St,0,0,"300 block of Washington St, Vidalia, Georgia"
1483254,17-Aug-19,New York,Brooklyn,Linden Blvd,0,0,"Linden Blvd, Brooklyn, New York"
1481300,16-Aug-19,North Carolina,Lexington,Mt View Ct,0,0,"Mt View Ct, Lexington, North Carolina"
1481753,16-Aug-19,Georgia,Atlanta,N/A,0,0,"N/A, Atlanta, Georgia"
1481126,16-Aug-19,South Carolina,Myrtle Beach,3400 Block of N Ocean Blvd,0,0,"3400 Block of N Ocean Blvd, Myrtle Beach, South Carolina"
1481704,16-Aug-19,Tennessee,Hixson,1500 block of Crabtree Rd,0,0,"1500 block of Crabtree Rd, Hixson, Tennessee"
1483506,16-Aug-19,Ohio,Cambridge,Skyline Dr,0,0,"Skyline Dr, Cambridge, Ohio"
1480271,15-Aug-19,Rhode Island,Lincoln,74 Old Orchard Rd,0,0,"74 Old Orchard Rd, Lincoln, Rhode Island"
1481244,15-Aug-19,Pennsylvania,Lancaster,Kreider Avenue,0,0,"Kreider Avenue, Lancaster, Pennsylvania"
1481222,15-Aug-19,Texas,Port Arthur,934 W 14th St,0,0,"934 W 14th St, Port Arthur, Texas"
1480772,15-Aug-19,Connecticut,Norwalk,Bedford Ave,0,0,"Bedford Ave, Norwalk, Connecticut"
1489021,15-Aug-19,Delaware,Frankford,Star Ln and Peppers Corner Rd,0,0,"Star Ln and Peppers Corner Rd, Frankford, Delaware"
1481462,15-Aug-19,New York,Syracuse,North Clinton Street,0,0,"North Clinton Street, Syracuse, New York"
1501103,14-Aug-19,New York,Ronkonkoma,3845 Veterans Memorial Hwy,0,0,"3845 Veterans Memorial Hwy, Ronkonkoma, New York"
1520080,14-Aug-19,New York,Farmington,N/A,0,0,"N/A, Farmington, New York"
1478869,14-Aug-19,Pennsylvania,Philadelphia,3716 N 15th St,0,6,"3716 N 15th St, Philadelphia, Pennsylvania"
1483867,14-Aug-19,South Carolina,Conway,4000 block of Fox Tail Pine Dr,0,0,"4000 block of Fox Tail Pine Dr, Conway, South Carolina"
1480024,14-Aug-19,Utah,Saint George (St George),252 N 2700 East,1,0,"252 N 2700 East, Saint George (St George), Utah"
1479340,14-Aug-19,Rhode Island,Providence,95 Sisson St,0,0,"95 Sisson St, Providence, Rhode Island"
1480493,14-Aug-19,Texas,Austin,1100 Kingsbury St,0,0,"1100 Kingsbury St, Austin, Texas"
1478888,13-Aug-19,New York,Tuckahoe,25 Main St,0,0,"25 Main St, Tuckahoe, New York"
